index,word,occurrence
18,a,6106
3265,aback,1
3844,abandon,3
4133,abdicate,1
4506,abdomen,6
8304,abhor,1
6599,abide,1
4102,ability,4
6717,ablaze,2
600,able,177
67,about,663
1029,above,69
8691,abreast,1
5891,abrupt,2
8547,absent,3
2093,absolute,1
6054,absorb,3
3921,abstract,2
9030,absurd,1
6754,abuse,1
9668,abyss,3
8060,accelerate,1
4070,accept,6
8128,access,2
5930,accident,4
9241,accommodate,1
3076,accomplish,4
7343,accord,3
5560,account,5
6056,accoutrements,1
8088,accurate,1
8141,accuse,1
5010,ache,5
7329,acknowledge,2
4595,acorn,1
3892,acquire,1
6774,acrid,3
306,across,222
3518,act,14
8846,activate,1
7270,activity,2
5902,actual,1
5057,actually,5
4910,add,12
2783,added,27
1402,adding,6
7993,additional,1
8504,additive,9
8922,address,1
1598,addressed,11
8505,adds,3
5211,adie,145
5594,adies,24
9137,adjacent,1
9121,adjoining,1
4127,adjusted,3
8434,admiration,1
8436,admire,2
9458,admired,1
7414,admiring,3
8127,admission,1
4093,admit,15
6074,admitted,11
4833,admitting,1
4663,admonished,5
6597,adolescent,1
8338,adult,1
5031,adults,3
1191,advanced,8
7002,advancing,4
2253,advantage,7
5689,adventures,2
4186,adversary,4
5630,adverse,1
3688,advice,9
4782,advised,1
7998,advisor,3
7977,advisors,9
7886,afar,1
6519,affairs,4
6525,affect,3
8480,affecting,1
7780,affection,4
5044,affectionate,2
4253,affectionately,3
6777,affixing,1
4965,afford,4
3320,afforded,1
1269,afraid,134
236,after,270
7089,aftermath,1
700,afternoon,22
8599,afterward,2
7381,agaden,18
414,again,382
17,against,402
4500,agape,2
239,age,18
6966,aged,1
9034,agent,6
5660,ages,2
9420,aggravated,1
5236,aggression,1
3809,aggressively,1
4975,aggressor,1
3289,aghast,1
8906,agiel,127
9708,agiels,1
2280,agitation,1
1502,ago,28
6246,agonizing,3
5524,agonizingly,1
412,agony,26
3263,agree,17
3095,agreed,16
7119,agreeing,1
1288,agreement,19
2901,agreements,3
5262,aground,1
4215,aha,1
825,ahead,84
2808,aid,23
4257,aided,1
1909,aides,1
7972,aids,1
7116,ail,1
4462,aim,1
6962,aimed,1
7677,aiming,1
5896,aimlessly,1
9519,aims,1
54,air,214
3638,airborne,1
8935,airy,2
549,alarm,11
6500,alder,1
1827,ale,4
4870,alert,4
6640,alerted,1
3619,alien,1
6706,alighted,1
5773,alignment,1
4200,alike,3
1944,alittle,2
462,alive,52
150,all,1033
4205,allconsuming,2
4675,allegiance,2
2940,alliance,13
7801,alliances,3
8125,allies,2
3893,allotted,1
2182,allow,44
1256,allowed,51
451,allowing,10
7347,allows,4
4717,alluring,1
6892,ally,4
7792,almond,4
3327,almonds,1
64,almost,152
359,alone,97
3100,aloneness,1
61,along,97
7379,aloud,1
111,already,100
2652,also,88
6779,altar,11
2382,alter,3
8897,alteration,1
9056,altering,1
716,alternating,2
8409,alternative,1
2666,although,24
3521,altogether,5
180,always,150
1001,am,217
8461,amaze,1
8756,amazed,2
5107,amazement,2
9655,amber,1
9199,ambitions,1
8791,ambitious,2
3721,amended,1
3316,amiable,1
4130,amid,1
7875,amiss,1
1433,amnell,8
8439,amok,1
1462,among,83
5203,amount,3
4351,ample,2
8964,amplified,1
9608,amplify,1
8748,amplifying,1
8707,amply,1
5789,amuse,1
5162,amused,2
7798,amusement,2
10,an,580
8087,analogy,1
7365,analyze,1
9447,analyzing,1
9182,anatomy,1
6673,ancestor,2
2063,ancestors,19
6712,ancestral,1
4848,anchored,1
5340,anchoring,1
3881,ancient,15
36,and,5705
9193,andstarted,1
882,anew,4
1527,anger,170
6363,angerout,1
7282,angle,2
1545,angles,5
4796,angling,3
9140,angrier,1
2351,angrily,16
662,angry,71
3878,anguish,9
4086,angular,2
5683,animal,10
1765,animals,11
5812,ankle,5
8919,ankles,4
8671,announce,1
2581,announced,18
2204,annoyance,4
4154,annoyed,5
6232,annoyingly,1
8959,annoys,1
8546,anonymous,1
418,another,210
6549,anothers,2
404,answer,123
185,answered,30
5933,answerhe,1
3027,answering,10
1472,answers,30
8306,answershe,1
6180,ant,5
9271,anther,1
4022,anthropomancy,2
5692,anti,1
9107,anticipate,1
6133,antlers,1
8503,ants,1
6641,anxiety,3
3576,anxious,9
9046,anxiously,1
1003,any,263
691,anymore,30
1193,anyone,133
7437,anyones,1
368,anything,234
9024,anytime,1
814,anyway,44
792,anywhere,17
334,apart,28
5564,apologetically,2
7265,apologies,2
2242,apologize,4
3385,apologized,3
7274,apology,2
5021,appalled,2
3760,apparent,1
3031,apparently,4
3674,apparitions,1
4719,appeal,1
7215,appealing,1
977,appear,9
3180,appearance,3
1252,appeared,23
4683,appearing,3
8921,appellation,4
5215,appendage,2
9375,appendages,1
1785,appetite,8
6775,appetizing,1
3146,apple,43
3157,apples,8
3581,applied,6
6941,apply,1
7235,applying,1
3531,appoint,5
4090,appointed,1
2905,appointment,4
4091,appoints,1
8918,appraisal,1
5491,appraised,2
4698,appraising,4
4932,appreciate,6
6053,appreciated,1
7121,appreciative,1
6150,apprehension,2
7249,apprehensively,1
2357,approach,5
975,approached,24
6151,approaches,3
8667,approaching,2
8174,appropriate,1
2957,approval,4
5618,approve,2
5393,approved,2
5476,apron,1
8138,arbiter,1
8137,arbiters,1
6635,arbrin,4
7357,arbrins,1
1369,arc,8
6395,arced,1
982,arch,1
3211,arched,11
7055,archer,1
7008,archers,4
8697,arches,5
8907,arching,1
7583,archway,4
6506,ardently,1
2407,arduous,1
1031,are,935
1956,area,26
732,areas,15
1283,arent,26
1717,argue,9
2966,argued,1
3188,arguing,6
2358,argument,3
6655,arguments,1
7264,aria,1
6437,arid,1
1022,arm,195
4728,armaments,1
4402,armed,5
7999,armfuls,1
2786,armies,3
4234,armor,16
8905,armored,2
7586,armpit,2
8219,armpits,1
980,arms,273
8612,armthe,1
373,army,60
3712,aroma,5
4712,aromas,2
3131,aromatic,2
24,around,610
9675,aroundher,1
7458,aroundthen,1
6771,arousal,1
6671,aroused,1
2688,arranged,5
3150,arrangement,2
2216,arrangements,1
3145,arranging,1
6069,arrested,1
7077,arrival,3
7439,arrive,1
7115,arrived,3
7874,arrives,1
2422,arrogance,3
2961,arrogant,5
4933,arrow,12
2765,arrows,14
1231,arsenal,1
9556,art,1
8581,artifact,1
7979,artist,17
8881,artists,1
42,as,2410
9587,ascended,2
6431,ascertain,1
5310,ash,6
2246,ashamed,6
2817,ashen,6
8190,ashes,2
682,aside,19
1399,ask,113
1149,asked,238
183,asking,28
2879,asks,3
3119,asleep,24
9230,asp,1
5319,assailed,1
3967,assassin,5
1508,assassins,2
5697,assembled,3
2037,assembly,1
8753,assent,1
5686,assertively,1
4087,assessed,1
7360,assessment,3
8459,asset,1
7836,assign,1
6122,assigned,3
4006,assistance,1
7928,assumed,1
3249,assumption,1
9572,assurance,1
7247,assure,6
3393,assured,3
5529,assuring,2
3057,astonished,4
2481,astonishing,1
9176,astonishingly,1
2657,astonishment,3
5163,astounded,1
9157,astounding,2
6835,astride,1
198,at,1839
3673,atop,7
8631,atrocities,1
6305,attached,8
4942,attack,6
1701,attacked,8
4362,attacker,1
7933,attackers,1
8567,attacking,2
5286,attempt,5
6322,attend,5
8554,attendants,2
74,attention,42
5988,attentive,3
3788,attitude,2
5052,attract,1
1008,attracted,5
1421,attractive,7
7790,auburn,4
1927,audible,3
2092,audience,3
9033,authoritative,1
2035,authority,7
481,autumn,10
3698,avail,1
7539,availed,1
9504,avalanched,1
2985,avarice,1
2730,avaricious,1
1495,averted,4
1135,avoid,13
741,avoided,5
4954,avoiding,4
8337,avoids,1
9003,awaited,1
6065,awaits,1
3444,awake,37
1528,awakened,7
3824,awakening,2
5797,awakes,1
3353,aware,23
4955,awash,2
243,away,513
8106,awed,1
8684,awestruck,1
6897,awful,4
5001,awfully,4
3951,awhile,7
6277,awkward,1
4020,awkwardly,2
1632,awkwardness,1
3268,awoke,3
4147,axe,18
8051,axeman,1
4315,axes,3
6811,axis,1
8113,aydindril,14
9268,azrith,5
5681,b,3
4224,baby,4
8201,babys,1
366,back,1317
9152,backache,2
6336,backdoor,1
2920,backed,26
1996,background,1
7671,backhanded,5
4514,backhanding,2
5235,backing,6
2317,backpack,6
2529,backs,21
7947,backtrack,1
1350,backward,16
3536,backwards,2
2200,bad,46
7864,badger,1
5305,badly,13
1984,baggy,2
3236,bags,20
6935,bait,2
7519,baked,1
3540,balance,9
5918,balanced,5
2647,balancing,1
8687,balconies,2
5489,bald,3
9715,baldheaded,1
4123,baldric,3
6498,baleful,1
9472,balk,1
2891,ball,11
29,balsam,4
7402,banc,1
6018,band,5
5268,bandage,3
7144,bandages,1
7772,banded,2
5948,bands,6
8840,bane,1
8057,bang,1
8241,banging,2
4819,banished,1
4847,bank,5
9396,banked,2
9336,banking,2
7741,banks,2
9440,banner,1
8634,banners,4
6659,banquet,12
7223,banquets,2
7594,bar,2
1623,barbed,1
8624,barbers,1
2323,bare,24
9462,bareback,1
6619,barechested,2
8390,bared,1
7597,barefoot,1
1926,barely,23
7258,bargain,6
8540,bargaining,1
7359,bargains,2
8235,barges,1
35,bark,7
7529,barked,3
7986,barking,1
7867,barks,1
3238,barn,1
7344,barred,1
4893,barrel,1
5456,barrels,3
3210,barren,5
5227,barrier,2
8728,barristers,1
8765,bars,8
497,base,9
3250,based,2
9428,bases,1
454,basic,2
5539,basin,4
5061,bask,1
7345,basket,7
5197,bastard,3
3202,batch,1
2293,bath,6
3739,bathed,5
6230,bathing,3
3724,bathwater,3
2770,battalions,1
8332,batted,2
1326,battle,24
9071,battleaxe,3
4969,battlefield,1
9591,battlements,1
6425,battles,2
7050,bawled,1
2887,bay,4
127,be,1856
9333,beacon,1
6078,bead,3
5762,beaded,3
5584,beads,4
9716,beady,1
8961,beam,5
5793,beamed,6
4646,beaming,4
3409,beams,10
2565,bear,27
5481,beard,17
5470,beards,5
4688,bearing,3
4533,bearings,2
5009,bears,3
2474,beast,37
1766,beasts,31
2487,beat,16
910,beaten,5
2158,beating,9
7179,beats,1
1844,beautiful,40
5142,beauty,6
3135,beaver,1
1152,became,59
739,because,300
9324,beck,1
3629,beckoned,2
4013,beckoning,3
1585,become,29
8192,becomes,3
1099,becoming,14
2294,bed,62
9627,bedchamber,1
7894,bedcover,2
2368,bedding,2
2377,bedpost,2
9541,bedroll,1
5845,bedrolls,2
2157,bedroom,6
6154,beds,1
9255,bedside,1
5434,beech,2
1872,beef,1
78,been,552
129,before,604
6888,beg,17
836,began,94
5472,beggar,1
6419,begged,12
3753,begging,7
1195,begin,9
2918,beginning,29
6455,begins,1
3950,begrudge,1
5381,beguile,1
8358,begun,6
2250,behalf,9
9011,behaved,2
3207,behavior,7
8775,beheaded,2
5993,beheading,1
642,behind,216
3555,behold,1
136,being,180
2759,beings,2
7914,belches,1
1581,belied,1
5014,belief,2
7825,beliefs,3
878,believe,115
2532,believed,12
1714,believes,5
8426,believing,3
9088,bell,11
5293,bellies,2
8649,bellowed,3
9186,bells,2
7175,bellshaped,1
9092,bellthe,1
2425,belly,12
2198,belong,5
2199,belonged,6
1187,belonging,1
8249,belongings,2
3804,belongs,8
2122,beloved,2
657,below,33
8758,belowground,1
1247,belt,49
8883,belts,1
3321,bench,16
5457,benches,3
871,bend,9
7877,bending,2
4970,bends,1
486,beneath,13
2086,beneficiaries,1
2089,benefit,5
6733,benefited,1
7560,benefits,1
934,bent,32
485,berries,25
8528,berry,1
2356,berth,2
1273,beseeching,2
653,beside,25
815,besides,17
371,best,86
7475,bestest,8
9052,bestial,1
3201,bet,9
2476,betray,9
9456,betrayal,1
1032,betrayed,20
5844,betraying,5
9422,bets,1
385,better,157
1087,between,132
1833,bewildered,5
3848,bewilderment,3
8094,bewitch,1
7808,bewitched,1
3839,bewitching,3
2375,beyond,53
7605,bid,1
4016,bidden,2
4182,bidding,3
8492,biding,1
300,big,220
475,bigger,21
3791,biggest,13
4359,bill,42
5535,bills,4
7960,bind,1
8805,binding,3
1115,birch,10
1119,birches,2
5073,bird,168
544,birds,20
3561,birth,2
6915,birthright,1
8389,biscuit,3
8377,biscuits,2
428,bit,53
8910,bitch,5
504,bite,49
1726,bites,6
2450,biting,9
6399,bits,2
3329,bitten,2
2720,bitter,8
5207,bitterly,6
3528,bitterness,2
7134,bittertasting,1
8828,bivouacked,1
9465,bizarre,1
1121,black,86
8011,blackand,1
5169,blacked,1
3418,blackened,2
8107,blackexcept,1
2852,blackness,28
9302,blacktipped,2
1243,blade,50
4890,blades,3
3508,blame,4
8342,blaming,1
9604,blanched,1
6478,blank,6
2573,blanket,30
3141,blanketing,1
5270,blankets,10
7208,blankly,7
4522,blast,3
8793,blasted,2
9210,blasting,1
4498,blasts,1
3412,blaze,1
6239,blazed,1
5707,bleached,2
7241,bleakly,1
8975,bled,2
5250,bleed,4
4202,bleeding,3
5662,blended,1
3477,blending,2
8654,blessings,1
2787,blew,20
1072,blind,19
4529,blinded,3
4464,blindfolded,1
4518,blinding,4
6202,blindly,2
5805,blinds,1
2461,blink,13
3490,blinked,24
8384,blinking,3
8399,blinks,1
8610,bliss,1
2768,blister,1
6166,block,8
1021,blocked,7
1227,blocking,3
4850,blocks,4
1237,blond,20
9475,blondhaired,1
304,blood,133
4827,bloodcurdling,1
7392,bloodied,1
