index,word
1,wizard
2,s
3,first
4,rule
5,by
6,terry
7,goodkind
8,chapter
9,it
10,was
11,an
12,odd
13,looking
14,vine
15,dusky
16,variegated
17,leaves
18,hunkered
19,against
20,a
21,stem
22,that
23,wound
24,in
25,stranglehold
26,around
27,the
28,smooth
29,trunk
30,of
31,balsam
32,fir
33,sap
34,drooled
35,down
36,wounded
37,bark
38,and
39,dry
40,limbs
41,slumped
42,making
43,look
44,as
45,if
46,tree
47,were
48,trying
49,to
50,voice
51,moan
52,into
53,cool
54,damp
55,morning
56,air
57,pods
58,stuck
59,out
60,from
61,here
62,there
63,along
64,its
65,length
66,almost
67,seeming
68,warily
69,about
70,for
71,witnesses
72,smell
73,had
74,caught
75,his
76,attention
77,like
78,decomposition
79,something
80,been
81,wholly
82,unsavory
83,even
84,life
85,richard
86,combed
87,fingers
88,through
89,thick
90,hair
91,mind
92,lifted
93,fog
94,despair
95,coming
96,focus
97,upon
98,seeing
99,he
100,scanned
101,others
102,but
103,saw
104,none
105,everything
106,else
107,looked
108,normal
109,maples
110,upper
111,ven
112,forest
113,already
114,tinged
115,with
116,crimson
117,proudly
118,showing
119,off
120,their
121,new
122,mantle
123,light
124,breeze
125,nights
126,getting
127,colder
128,wouldn
129,t
130,be
131,long
132,before
133,cousins
134,hartland
135,woods
136,joined
137,them
138,oaks
139,being
140,last
141,surrender
142,season
143,still
144,stoically
145,wore
146,dark
147,green
148,coats
149,having
150,spent
151,most
152,knew
153,all
154,plants
155,not
156,name
157,sight
158,when
159,very
160,small
161,friend
162,zedd
163,taken
164,him
165,hunting
166,special
167,herbs
168,shown
169,which
170,ones
171,where
172,they
173,grew
174,why
175,put
176,names
177,many
178,times
179,just
180,talked
181,old
182,man
183,always
184,treating
185,equal
186,asking
187,much
188,answered
189,sparked
190,hunger
191,learn
192,know
193,this
194,though
195,seen
196,only
197,once
198,found
199,sprig
200,at
201,father
202,house
203,blue
204,clay
205,jar
206,made
207,boy
208,trader
209,traveled
210,often
211,chance
212,exotic
213,or
214,rare
215,item
216,people
217,means
218,sought
219,interested
220,what
221,might
222,have
223,turned
224,up
225,seemed
226,more
227,than
228,finding
229,liked
230,happy
231,part
232,latest
233,discovery
234,so
235,could
236,after
237,next
238,young
239,age
240,spend
241,time
242,while
243,away
244,brother
245,michael
246,few
247,years
248,older
249,no
250,interest
251,rambling
252,lectures
253,preferred
254,five
255,moved
256,live
257,on
258,own
259,stopped
260,home
261,unlike
262,who
263,busy
264,rarely
265,visit
266,whenever
267,went
268,would
269,leave
270,message
271,telling
272,news
273,some
274,gossip
275,day
276,three
277,weeks
278,come
279,tell
280,murdered
281,gone
282,despite
283,insistence
284,reason
285,go
286,nothing
287,do
288,since
289,passed
290,did
291,said
292,wanting
293,spare
294,didn
295,let
296,see
297,body
298,big
299,sickening
300,splashes
301,puddles
302,blood
303,brown
304,across
305,plank
306,floor
307,came
308,close
309,voices
310,fell
311,silent
312,except
313,offer
314,sympathy
315,deepened
316,riving
317,pain
318,yet
319,heard
320,talking
321,hushed
322,tones
323,stories
324,wild
325,rumors
326,things
327,boundary
328,magic
329,shocked
330,way
331,torn
332,apart
333,storm
334,loose
335,inside
336,left
337,untouched
338,sat
339,shelf
340,pocket
341,now
342,meant
343,couldn
344,guess
345,grief
346,depression
347,overwhelmed
348,felt
349,abandoned
350,grown
351,manhood
352,offered
353,sanctuary
354,forlorn
355,feeling
356,orphaned
357,alone
358,world
359,known
360,mother
361,died
362,sometimes
363,somewhere
364,back
365,never
366,anything
367,search
368,killer
369,best
370,trackers
371,army
372,wanted
373,stay
374,good
375,simply
376,show
377,every
378,searching
379,walked
380,trails
381,trail
382,finally
383,better
384,judgment
385,gave
386,whispers
387,haunted
388,somehow
389,teased
390,tantalized
391,thoughts
392,reach
393,laughed
394,lectured
395,himself
396,playing
397,tricks
398,real
399,thought
400,give
401,sort
402,answer
403,think
404,teasing
405,brooded
406,thinking
407,told
408,stop
409,taught
410,agony
411,death
412,again
413,killing
414,preside
415,over
416,another
417,gripping
418,firmly
419,pulled
420,powerful
421,muscles
422,ripped
423,sinewy
424,tendrils
425,bit
426,one
427,struck
428,hit
429,hand
430,causing
431,jump
432,surprise
433,inspecting
434,thorn
435,embedded
436,meat
437,gash
438,matter
439,decided
440,trouble
441,reached
442,knife
443,dig
444,wasn
445,surprised
446,realized
447,reprimanded
448,allowing
449,cause
450,forget
451,basic
452,taking
453,using
454,fingernails
455,tried
456,pull
457,rising
458,concern
459,alive
460,wriggled
461,itself
462,deeper
463,dragged
464,thumbnail
465,snag
466,dug
467,hot
468,wave
469,nausea
470,swept
471,tore
472,bigger
473,disappeared
474,oozing
475,spotted
476,purplish
477,red
478,autumn
479,nannyberry
480,laden
481,crop
482,berries
483,beneath
484,nestled
485,crook
486,root
487,aum
488,plant
489,relieved
490,carefully
491,snapped
492,tender
493,near
494,base
495,gently
496,squeezed
497,sticky
498,clear
499,liquid
500,onto
501,bite
502,smiled
503,mentally
504,thanked
505,teaching
506,how
507,wounds
508,heal
509,faster
510,soft
511,fuzzy
512,juice
513,numbed
514,sting
515,worry
516,unable
517,remove
518,feel
519,wriggling
520,flesh
521,squatted
522,poked
523,hole
524,ground
525,finger
526,placed
527,fixed
528,moss
529,regrow
530,sounds
531,dead
532,flinching
533,shadow
534,leaping
535,rushing
536,whistling
537,sound
538,overhead
539,size
540,frightening
541,birds
542,burst
543,cover
544,trees
545,giving
546,alarm
547,calls
548,scattered
549,directions
550,peered
551,gaps
552,canopy
553,gold
554,source
555,instant
556,imagine
557,memory
558,flooded
559,cold
560,bone
561,thing
562,sky
563,less
564,remembered
565,sires
566,children
567,immediately
568,want
569,meet
570,third
571,child
572,discounting
573,fears
574,started
575,running
576,idle
577,talk
578,superstitious
579,impossible
580,flew
581,large
582,maybe
583,cloud
584,trick
585,fool
586,ran
587,glimpse
588,headed
589,path
590,skirted
591,hillside
592,dropped
593,sharply
594,other
595,side
596,able
597,get
598,unobstructed
599,view
600,branches
601,wet
602,rain
603,night
604,slapped
605,face
606,jumping
607,fallen
608,rocky
609,streams
610,brush
611,snatched
612,pant
613,legs
614,dappled
